Primary Care Physicians per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Primary Care Physicians per 100000 Population
2018,27019,Carver County,Minnesota,6.9,88.49642
2018,27035,Crow Wing County,Minnesota,6.9,106.0641
2018,27049,Goodhue County,Minnesota,6.9,77.68665999999999
2018,27067,Kandiyohi County,Minnesota,6.9,92.59474
2018,27101,Murray County,Minnesota,6.9,12.20405
2018,27117,Pipestone County,Minnesota,6.9,54.78852
2018,27145,Stearns County,Minnesota,6.9,99.33260999999999
2018,29003,Andrew County,Missouri,6.9,11.291780000000001
2018,29059,Dallas County,Missouri,6.9,5.92487
2018,29171,Putnam County,Missouri,6.9,42.589439999999996
2018,30069,Petroleum County,Montana,6.9,No Data
2018,30079,Prairie County,Montana,6.9,No Data
2018,30081,Ravalli County,Montana,6.9,57.069810000000004
2018,30091,Sheridan County,Montana,6.9,60.44122
2018,30099,Teton County,Montana,6.9,16.2681
2018,31021,Burt County,Nebraska,6.9,30.96455
2018,31129,Nuckolls County,Nebraska,6.9,120.54002
2018,32009,Esmeralda County,Nevada,6.9,114.54754000000001
2018,35021,Harding County,New Mexico,6.9,No Data
2018,37005,Alleghany County,North Carolina,6.9,107.74893999999999
2018,37021,Buncombe County,North Carolina,6.9,141.27592
2018,37135,Orange County,North Carolina,6.9,187.90916
2018,38019,Cavalier County,North Dakota,6.9,26.58161
2018,39077,Huron County,Ohio,6.9,46.339200000000005
2018,39137,Putnam County,Ohio,6.9,56.11175
2018,40045,Ellis County,Oklahoma,6.9,51.8269
2018,41017,Deschutes County,Oregon,6.9,102.68498000000001
2018,41057,Tillamook County,Oregon,6.9,70.27667
2018,41069,Wheeler County,Oregon,6.9,No Data
2018,42023,Cameron County,Pennsylvania,6.9,44.97414
2018,42029,Chester County,Pennsylvania,6.9,85.14464
2018,42103,Pike County,Pennsylvania,6.9,30.46104
2018,46005,Beadle County,South Dakota,6.9,48.77256
2018,46037,Day County,South Dakota,6.9,36.87316
2018,46059,Hand County,South Dakota,6.9,31.338139999999996
2018,46075,Jones County,South Dakota,6.9,No Data
2018,47021,Cheatham County,Tennessee,6.9,61.474909999999994
2018,47083,Houston County,Tennessee,6.9,24.38727
2018,48019,Bandera County,Texas,6.9,21.633779999999998
2018,48035,Bosque County,Texas,6.9,53.51887000000001
2018,48043,Brewster County,Texas,6.9,86.92818
2018,48047,Brooks County,Texas,6.9,No Data
2018,48053,Burnet County,Texas,6.9,39.45592
2018,48065,Carson County,Texas,6.9,No Data
2018,48093,Comanche County,Texas,6.9,51.33847
2018,48115,Dawson County,Texas,6.9,39.28347
2018,48127,Dimmit County,Texas,6.9,39.51008
2018,48133,Eastland County,Texas,6.9,27.233120000000003
2018,48147,Fannin County,Texas,6.9,19.710539999999998
2018,48165,Gaines County,Texas,6.9,9.30579
2018,48173,Glasscock County,Texas,6.9,No Data
2018,48189,Hale County,Texas,6.9,32.928219999999996
2018,48193,Hamilton County,Texas,6.9,94.55147
2018,48205,Hartley County,Texas,6.9,No Data
2018,48229,Hudspeth County,Texas,6.9,No Data
2018,48235,Irion County,Texas,6.9,No Data
2018,48261,Kenedy County,Texas,6.9,No Data
2018,48271,Kinney County,Texas,6.9,No Data
2018,48273,Kleberg County,Texas,6.9,42.37288
2018,48293,Limestone County,Texas,6.9,38.400819999999996
2018,48295,Lipscomb County,Texas,6.9,No Data
2018,48297,Live Oak County,Texas,6.9,8.19202
2018,48305,Lynn County,Texas,6.9,84.01949
2018,48317,Martin County,Texas,6.9,17.328020000000002
2018,48353,Nolan County,Texas,6.9,33.98124
2018,48397,Rockwall County,Texas,6.9,74.3459
2018,48399,Runnels County,Texas,6.9,48.71395
2018,48413,Schleicher County,Texas,6.9,No Data
2018,48417,Shackelford County,Texas,6.9,30.62787
2018,48425,Somervell County,Texas,6.9,65.73181
2018,48443,Terrell County,Texas,6.9,No Data
2018,48447,Throckmorton County,Texas,6.9,66.62225000000001
2018,48449,Titus County,Texas,6.9,42.74809
2018,48483,Wheeler County,Texas,6.9,39.556960000000004
2018,48495,Winkler County,Texas,6.9,24.96879
2018,48499,Wood County,Texas,6.9,41.72248
2018,49031,Piute County,Utah,6.9,No Data
2018,51840,Winchester City,Virginia,6.9,252.86701
2018,53065,Stevens County,Washington,6.9,74.36081999999999
2018,55015,Calumet County,Wisconsin,6.9,11.978679999999999
2018,55019,Clark County,Wisconsin,6.9,23.00569
2018,55109,St. Croix County,Wisconsin,6.9,49.621219999999994
2018,55117,Sheboygan County,Wisconsin,6.9,63.291140000000006
2018,02150,Kodiak Island Borough,Alaska,7,123.09586
2018,06021,Glenn County,California,7,14.08798
2018,08055,Huerfano County,Colorado,7,72.49529000000001
2018,08087,Morgan County,Colorado,7,51.60314
2018,08111,San Juan County,Colorado,7,137.36264
2018,12021,Collier County,Florida,7,80.28018
2018,13125,Glascock County,Georgia,7,33.6587
2018,13201,Miller County,Georgia,7,34.97726
2018,13291,Union County,Georgia,7,65.27681
2018,16041,Franklin County,Idaho,7,43.24013
2018,16043,Fremont County,Idaho,7,30.53668
2018,16053,Jerome County,Idaho,7,36.86711
2018,16057,Latah County,Idaho,7,77.29131
2018,16085,Valley County,Idaho,7,140.44944
2018,17087,Johnson County,Illinois,7,8.05348
2018,17107,Logan County,Illinois,7,31.448739999999997
2018,18101,Martin County,Indiana,7,19.50268
2018,18115,Ohio County,Indiana,7,17.02128
2018,18161,Union County,Indiana,7,14.17635
2018,19041,Clay County,Iowa,7,87.41259
2018,19047,Crawford County,Iowa,7,17.835910000000002
2018,19167,Sioux County,Iowa,7,83.20184
2018,20081,Haskell County,Kansas,7,25.201610000000002
2018,20091,Johnson County,Kansas,7,123.33977
2018,20153,Rawlins County,Kansas,7,No Data
2018,20175,Seward County,Kansas,7,37.33433
2018,21079,Garrard County,Kentucky,7,22.64236
2018,23009,Hancock County,Maine,7,118.20976
2018,25007,Dukes County,Massachusetts,7,69.2361
2018,25021,Norfolk County,Massachusetts,7,128.1879
2018,27109,Olmsted County,Minnesota,7,242.58811
2018,27133,Rock County,Minnesota,7,107.35373
2018,27171,Wright County,Minnesota,7,44.08247
2018,29057,Dade County,Missouri,7,79.35458
2018,29125,Maries County,Missouri,7,No Data
2018,29186,Ste. Genevieve County,Missouri,7,39.11926
2018,29209,Stone County,Missouri,7,34.42664
2018,30061,Mineral County,Montana,7,45.48556
2018,31009,Blaine County,Nebraska,7,No Data
2018,31015,Boyd County,Nebraska,7,104.22095
2018,31113,Logan County,Nebraska,7,No Data
2018,32031,Washoe County,Nevada,7,77.40939
2018,35023,Hidalgo County,New Mexico,7,47.64173
2018,36077,Otsego County,New York,7,112.61829
2018,37011,Avery County,North Carolina,7,28.47867
2018,37109,Lincoln County,North Carolina,7,47.61296
2018,37189,Watauga County,North Carolina,7,87.22431
2018,38011,Bowman County,North Dakota,7,33.06878
2018,38033,Golden Valley County,North Dakota,7,No Data
2018,38049,Mchenry County,North Dakota,7,No Data
2018,38055,Mclean County,North Dakota,7,21.164019999999997
2018,38065,Oliver County,North Dakota,7,No Data
2018,40057,Harmon County,Oklahoma,7,37.69318
2018,42067,Juniata County,Pennsylvania,7,20.19141
2018,42093,Montour County,Pennsylvania,7,586.9446
2018,42113,Sullivan County,Pennsylvania,7,No Data
2018,42119,Union County,Pennsylvania,7,93.49331000000001
2018,46053,Gregory County,South Dakota,7,47.78973
2018,46069,Hyde County,South Dakota,7,No Data
2018,46119,Sully County,South Dakota,7,No Data
2018,47101,Lewis County,Tennessee,7,16.30258
2018,47137,Pickett County,Tennessee,7,59.429480000000005
2018,47187,Williamson County,Tennessee,7,143.8686
2018,48007,Aransas County,Texas,7,29.77456
2018,48081,Coke County,Texas,7,No Data
2018,48083,Coleman County,Texas,7,61.162079999999996
2018,48085,Collin County,Texas,7,100.89589
2018,48101,Cottle County,Texas,7,No Data
2018,48121,Denton County,Texas,7,53.98966
2018,48123,Dewitt County,Texas,7,54.56349
2018,48125,Dickens County,Texas,7,45.2284
2018,48137,Edwards County,Texas,7,51.759829999999994
2018,48155,Foard County,Texas,7,No Data
2018,48163,Frio County,Texas,7,19.69861
2018,48195,Hansford County,Texas,7,55.56585
2018,48207,Haskell County,Texas,7,53.022270000000006
2018,48211,Hemphill County,Texas,7,104.73946000000001
2018,48219,Hockley County,Texas,7,60.81404
2018,48233,Hutchinson County,Texas,7,28.656029999999998
