Access to Exercise Opportunities-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities
2018,18101,Martin County,Indiana,7,42.268240759
2018,18115,Ohio County,Indiana,7,60.541775457
2018,18161,Union County,Indiana,7,52.940393827
2018,19041,Clay County,Iowa,7,71.590568189
2018,19047,Crawford County,Iowa,7,53.263921385
2018,19167,Sioux County,Iowa,7,75.207690482
2018,20081,Haskell County,Kansas,7,44.830827068
2018,20091,Johnson County,Kansas,7,92.076320475
2018,20153,Rawlins County,Kansas,7,No Data
2018,20175,Seward County,Kansas,7,83.596200767
2018,21079,Garrard County,Kentucky,7,32.994323557
2018,23009,Hancock County,Maine,7,55.762799074
2018,25007,Dukes County,Massachusetts,7,82.394919867
2018,25021,Norfolk County,Massachusetts,7,88.422449132
2018,27109,Olmsted County,Minnesota,7,86.042094171
2018,27133,Rock County,Minnesota,7,48.105708682
2018,27171,Wright County,Minnesota,7,70.553327987
2018,29057,Dade County,Missouri,7,0.6977039198
2018,29125,Maries County,Missouri,7,6.0483870968
2018,29186,Ste. Genevieve County,Missouri,7,30.118489942
2018,29209,Stone County,Missouri,7,64.157505745
2018,30061,Mineral County,Montana,7,85.555292446
2018,31009,Blaine County,Nebraska,7,4.6025104603
2018,31015,Boyd County,Nebraska,7,0.905192949
2018,31113,Logan County,Nebraska,7,No Data
2018,32031,Washoe County,Nevada,7,87.854496959
2018,35023,Hidalgo County,New Mexico,7,20.576215774
2018,36077,Otsego County,New York,7,45.821487656
2018,37011,Avery County,North Carolina,7,100
2018,37109,Lincoln County,North Carolina,7,63.959624353
2018,37189,Watauga County,North Carolina,7,86.943753793
2018,38011,Bowman County,North Dakota,7,62.392891146
2018,38033,Golden Valley County,North Dakota,7,No Data
2018,38049,Mchenry County,North Dakota,7,24.856348471
2018,38055,Mclean County,North Dakota,7,26.891318902
2018,38065,Oliver County,North Dakota,7,37.973997833
2018,40057,Harmon County,Oklahoma,7,79.055441478
2018,42067,Juniata County,Pennsylvania,7,46.395518753
2018,42093,Montour County,Pennsylvania,7,50.281929162
2018,42113,Sullivan County,Pennsylvania,7,36.667703796
2018,42119,Union County,Pennsylvania,7,72.282910984
2018,46053,Gregory County,South Dakota,7,34.55865137
2018,46069,Hyde County,South Dakota,7,58.23943662
2018,46119,Sully County,South Dakota,7,1.2381646031
2018,47101,Lewis County,Tennessee,7,13.362387962
2018,47137,Pickett County,Tennessee,7,0.0393933425
2018,47187,Williamson County,Tennessee,7,78.9367951
2018,48007,Aransas County,Texas,7,77.057604284
2018,48081,Coke County,Texas,7,33.313253012
2018,48083,Coleman County,Texas,7,61.461495222
2018,48085,Collin County,Texas,7,93.898185063
2018,48101,Cottle County,Texas,7,82.990033223
2018,48121,Denton County,Texas,7,94.462235932
2018,48123,Dewitt County,Texas,7,72.040603075
2018,48125,Dickens County,Texas,7,63.543371522
2018,48137,Edwards County,Texas,7,1.4985014985
2018,48155,Foard County,Texas,7,0.1497005988
2018,48163,Frio County,Texas,7,85.717604693
2018,48195,Hansford County,Texas,7,62.497773027
2018,48207,Haskell County,Texas,7,53.82268181
2018,48211,Hemphill County,Texas,7,83.871815077
