Severe Housing Cost Burden-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,48425,Somervell County,Texas,6.9,9.2977250247
2018,48443,Terrell County,Texas,6.9,7.8048780488
2018,48447,Throckmorton County,Texas,6.9,10.769230769
2018,48449,Titus County,Texas,6.9,10.29122577
2018,48483,Wheeler County,Texas,6.9,6.961038961
2018,48495,Winkler County,Texas,6.9,5.6371576022
2018,48499,Wood County,Texas,6.9,10.814562433
2018,49031,Piute County,Utah,6.9,13.9329806
2018,51840,Winchester City,Virginia,6.9,12.161515644
2018,53065,Stevens County,Washington,6.9,11.185318543
2018,55015,Calumet County,Wisconsin,6.9,7.9638793939
2018,55019,Clark County,Wisconsin,6.9,8.9298655286
2018,55109,St. Croix County,Wisconsin,6.9,8.599479882
2018,55117,Sheboygan County,Wisconsin,6.9,8.1513426241
2018,02150,Kodiak Island Borough,Alaska,7,10.927944696
2018,06021,Glenn County,California,7,19.51093151
2018,08055,Huerfano County,Colorado,7,13.549752999
2018,08087,Morgan County,Colorado,7,12.285387257
2018,08111,San Juan County,Colorado,7,11.784511785
2018,12021,Collier County,Florida,7,16.87214469
2018,13125,Glascock County,Georgia,7,6.5913370998
2018,13201,Miller County,Georgia,7,8.7744396757
2018,13291,Union County,Georgia,7,13.329875519
2018,16041,Franklin County,Idaho,7,8.5838879963
2018,16043,Fremont County,Idaho,7,7.7152014652
2018,16053,Jerome County,Idaho,7,9.6930111039
2018,16057,Latah County,Idaho,7,15.231702595
2018,16085,Valley County,Idaho,7,11.817946729
2018,17087,Johnson County,Illinois,7,10.022438295
2018,17107,Logan County,Illinois,7,8.2983682984
2018,18101,Martin County,Indiana,7,7.6787067441
2018,18115,Ohio County,Indiana,7,6.4814814815
2018,18161,Union County,Indiana,7,7.9756795422
2018,19041,Clay County,Iowa,7,10.395068647
2018,19047,Crawford County,Iowa,7,8.674060586
2018,19167,Sioux County,Iowa,7,7.0143437526
2018,20081,Haskell County,Kansas,7,9.649122807
2018,20091,Johnson County,Kansas,7,8.7316336101
2018,20153,Rawlins County,Kansas,7,8.7160262418
2018,20175,Seward County,Kansas,7,10.694345025
2018,21079,Garrard County,Kentucky,7,10.074912093
2018,23009,Hancock County,Maine,7,10.495526497
2018,25007,Dukes County,Massachusetts,7,22.825244224
2018,25021,Norfolk County,Massachusetts,7,14.056646471
2018,27109,Olmsted County,Minnesota,7,10.351299326
2018,27133,Rock County,Minnesota,7,5.722350526
2018,27171,Wright County,Minnesota,7,8.403483009
2018,29057,Dade County,Missouri,7,9.1521816247
2018,29125,Maries County,Missouri,7,8.8185415489
2018,29186,Ste. Genevieve County,Missouri,7,7.5053003534
2018,29209,Stone County,Missouri,7,9.6984179301
2018,30061,Mineral County,Montana,7,9.3993325918
2018,31009,Blaine County,Nebraska,7,10.43956044
2018,31015,Boyd County,Nebraska,7,10.396039604
2018,31113,Logan County,Nebraska,7,14.444444444
2018,32031,Washoe County,Nevada,7,13.783154651
2018,35023,Hidalgo County,New Mexico,7,11.603243918
2018,36077,Otsego County,New York,7,12.064784341
2018,37011,Avery County,North Carolina,7,10.388567759
2018,37109,Lincoln County,North Carolina,7,9.8515519568
2018,37189,Watauga County,North Carolina,7,20.420303281
2018,38011,Bowman County,North Dakota,7,5.9725585149
2018,38033,Golden Valley County,North Dakota,7,5.9343434343
2018,38049,Mchenry County,North Dakota,7,8.1548599671
2018,38055,Mclean County,North Dakota,7,7.1529080675
2018,38065,Oliver County,North Dakota,7,9.2957746479
2018,40057,Harmon County,Oklahoma,7,6.6666666667
2018,42067,Juniata County,Pennsylvania,7,7.6940207104
2018,42093,Montour County,Pennsylvania,7,9.5265017668
2018,42113,Sullivan County,Pennsylvania,7,9.3889716841
2018,42119,Union County,Pennsylvania,7,11.469509241
2018,46053,Gregory County,South Dakota,7,8.1423401689
2018,46069,Hyde County,South Dakota,7,4.0472175379
2018,46119,Sully County,South Dakota,7,6.5099457505
2018,47101,Lewis County,Tennessee,7,8.769296741
2018,47137,Pickett County,Tennessee,7,5.7740169238
2018,47187,Williamson County,Tennessee,7,9.2771447974
2018,48007,Aransas County,Texas,7,12.382461701
2018,48081,Coke County,Texas,7,2.2884882108
2018,48083,Coleman County,Texas,7,9.0909090909
